institution_id,publication_count
https://openalex.org/I1339471597,2
https://openalex.org/I4210165985,2
https://openalex.org/I25974101,2
https://openalex.org/I205984670,2
https://openalex.org/I74653059,2
https://openalex.org/I4210089966,2
https://openalex.org/I200296433,2
https://openalex.org/I119311299,2
https://openalex.org/I154757721,2
https://openalex.org/I55285296,2
https://openalex.org/I76134821,2
https://openalex.org/I40527276,2
https://openalex.org/I225661044,2
https://openalex.org/I11932220,2
https://openalex.org/I165733156,2
https://openalex.org/I83519826,2
https://openalex.org/I1291425158,2
https://openalex.org/I211055903,2
https://openalex.org/I4401200333,2
https://openalex.org/I71267560,2
https://openalex.org/I161463649,2
https://openalex.org/I14243506,2
https://openalex.org/I4210140884,2
https://openalex.org/I4210157117,2
https://openalex.org/I149704539,2
https://openalex.org/I4210125099,2
https://openalex.org/I157614274,2
https://openalex.org/I33849332,2
https://openalex.org/I74973139,2
https://openalex.org/I142444530,2
https://openalex.org/I16733864,2
https://openalex.org/I181046868,2
https://openalex.org/I894721429,2
https://openalex.org/I192619145,2
https://openalex.org/I12912129,2
https://openalex.org/I130828816,2
https://openalex.org/I169877490,2
https://openalex.org/I4210093292,2
https://openalex.org/I4210150290,2
https://openalex.org/I96036126,2
https://openalex.org/I4210105654,2
https://openalex.org/I126596746,2
https://openalex.org/I70931966,2
https://openalex.org/I91044093,2
https://openalex.org/I91450128,2
https://openalex.org/I131835042,2
https://openalex.org/I4210134900,2
https://openalex.org/I199691007,2
https://openalex.org/I29617571,2
https://openalex.org/I1321067030,2
https://openalex.org/I54383971,2
https://openalex.org/I69552723,2
https://openalex.org/I4210166444,2
https://openalex.org/I592451,2
https://openalex.org/I2802730090,2
https://openalex.org/I4210088053,2
https://openalex.org/I4210147161,2
https://openalex.org/I91045830,2
https://openalex.org/I51195161,2
https://openalex.org/I4210123216,2
https://openalex.org/I172446870,2
https://openalex.org/I4210142124,2
https://openalex.org/I4210141984,2
https://openalex.org/I200650556,2
https://openalex.org/I129734738,2
https://openalex.org/I2801081054,2
https://openalex.org/I42237331,2
https://openalex.org/I24603500,2
https://openalex.org/I67415387,2
https://openalex.org/I2800154431,2
https://openalex.org/I2251586001,2
https://openalex.org/I4210092133,2
https://openalex.org/I4210094012,2
https://openalex.org/I4210136897,2
https://openalex.org/I98251732,2
https://openalex.org/I2800921988,2
https://openalex.org/I2279609970,2
https://openalex.org/I155125381,2
https://openalex.org/I2801680663,2
https://openalex.org/I136750679,2
https://openalex.org/I29891158,2
https://openalex.org/I55769427,2
https://openalex.org/I82951845,2
https://openalex.org/I4210133503,2
https://openalex.org/I46247651,2
https://openalex.org/I1292894508,2
https://openalex.org/I63072094,2
https://openalex.org/I24676775,2
https://openalex.org/I4210120009,2
https://openalex.org/I2801795740,2
https://openalex.org/I75027704,2
https://openalex.org/I4210138609,2
https://openalex.org/I20231570,2
https://openalex.org/I69050122,2
https://openalex.org/I16076960,2
https://openalex.org/I64295750,2
https://openalex.org/I137479271,2
https://openalex.org/I185443292,2
https://openalex.org/I4210118524,2
https://openalex.org/I4210156707,2
https://openalex.org/I4210103786,2
https://openalex.org/I92008406,2
https://openalex.org/I91357014,2
https://openalex.org/I179420787,2
https://openalex.org/I2801924861,2
https://openalex.org/I4210097146,2
https://openalex.org/I51452335,2
https://openalex.org/I43439940,2
https://openalex.org/I55143463,2
https://openalex.org/I45294948,2
https://openalex.org/I114724429,2
https://openalex.org/I193662353,2
https://openalex.org/I181631907,2
https://openalex.org/I29606459,2
https://openalex.org/I39624965,2
https://openalex.org/I63966007,2
https://openalex.org/I106349282,2
https://openalex.org/I32480017,2
https://openalex.org/I197251160,2
https://openalex.org/I3132702812,2
https://openalex.org/I212220629,2
https://openalex.org/I42934936,2
https://openalex.org/I5681781,2
https://openalex.org/I131249849,2
https://openalex.org/I1306687154,2
https://openalex.org/I28022161,2
https://openalex.org/I4210116320,2
https://openalex.org/I1333540553,2
https://openalex.org/I34771391,2
https://openalex.org/I205746353,2
https://openalex.org/I200606013,2
https://openalex.org/I36893310,2
https://openalex.org/I173304897,2
https://openalex.org/I4210100342,2
https://openalex.org/I48076826,2
https://openalex.org/I141568987,2
https://openalex.org/I4399657946,2
https://openalex.org/I26771391,2
https://openalex.org/I72227227,2
https://openalex.org/I199693650,2
https://openalex.org/I52099693,2
https://openalex.org/I47251452,2
https://openalex.org/I65181880,2
https://openalex.org/I79272384,2
https://openalex.org/I163205636,2
https://openalex.org/I17877952,2
https://openalex.org/I226983648,2
https://openalex.org/I193073490,2
https://openalex.org/I931681460,2
https://openalex.org/I32394136,2
https://openalex.org/I60054993,2
https://openalex.org/I8961855,2
https://openalex.org/I189442560,2
https://openalex.org/I14467051,2
https://openalex.org/I75444546,2
https://openalex.org/I4210133311,2
https://openalex.org/I193531525,2
https://openalex.org/I11947397,2
https://openalex.org/I4210097900,2
https://openalex.org/I146655781,2
https://openalex.org/I34942010,2
https://openalex.org/I183067930,2
https://openalex.org/I4210147586,2
https://openalex.org/I4210153126,2
https://openalex.org/I1289490764,2
https://openalex.org/I97565354,2
https://openalex.org/I184693016,2
https://openalex.org/I169335092,1
https://openalex.org/I3130378879,1
https://openalex.org/I104941359,1
https://openalex.org/I4387152369,1
https://openalex.org/I230495080,1
https://openalex.org/I129162050,1
https://openalex.org/I4210106663,1
https://openalex.org/I4210099530,1
https://openalex.org/I2802730293,1
https://openalex.org/I1303043848,1
https://openalex.org/I103531236,1
https://openalex.org/I49433721,1
https://openalex.org/I4210121101,1
https://openalex.org/I1334329717,1
https://openalex.org/I4210128723,1
https://openalex.org/I2801518579,1
https://openalex.org/I4210095140,1
https://openalex.org/I4210112411,1
https://openalex.org/I1331321872,1
https://openalex.org/I57206974,1
https://openalex.org/I2802706549,1
https://openalex.org/I4210119109,1
https://openalex.org/I4210129097,1
https://openalex.org/I92251255,1
https://openalex.org/I4210091910,1
https://openalex.org/I4210139172,1
https://openalex.org/I4210166344,1
https://openalex.org/I107920810,1
https://openalex.org/I4210114390,1
https://openalex.org/I2841861,1
https://openalex.org/I4210097149,1
https://openalex.org/I4210086221,1
https://openalex.org/I4210123775,1
https://openalex.org/I106329310,1
https://openalex.org/I4210139031,1
https://openalex.org/I111199411,1
